description,amount,is_recurring,source,month,account_type,debit_credit
service revenue received reference 18566,783.78,0,CSV,10,revenue,credit
vehicle purchase for business reference 84028,315176.01,0,Excel,1,asset,debit
retained earnings transfer reference 42478,414690.48,0,Manual,10,equity,credit
purchase of machinery reference 30190,473247.39,0,Bank,11,asset,debit
accounts payable recorded reference 25308,237938.12,0,Excel,4,liability,credit
office electricity bill reference 27686,11648.46,0,PDF,12,expense,debit
service revenue received reference 36967,88005.11,1,CSV,6,revenue,credit
purchase of computer equipment reference 80367,125957.8,0,Manual,10,asset,credit
purchase of machinery reference 96977,337367.69,0,PDF,6,asset,debit
short term borrowing reference 21320,308654.06,0,Bank,1,liability,credit
share capital contribution reference 29901,406928.66,0,Excel,7,equity,debit
subscription revenue reference 17104,476120.17,0,Excel,8,revenue,credit
consulting income received reference 39728,347175.48,0,CSV,2,revenue,credit
equipment acquisition reference 78080,117497.27,0,CSV,7,asset,debit
security deposit paid reference 98672,421113.83,1,Manual,2,asset,debit
purchase of machinery reference 80126,4294.63,1,PDF,12,asset,debit
client payment for consulting services reference 47782,106004.89,1,Manual,5,revenue,credit
insurance expense reference 60097,412970.01,1,Excel,11,expense,credit
service revenue received reference 80823,216782.61,0,PDF,3,revenue,credit
retained earnings transfer reference 85171,25862.08,0,Excel,6,equity,credit
insurance expense reference 11048,163893.71,0,Manual,4,expense,debit
business loan received reference 67391,84265.17,0,CSV,6,liability,credit
client payment for consulting services reference 74158,250533.7,1,Manual,5,revenue,credit
client payment for consulting services reference 81987,157568.12,0,CSV,6,revenue,credit
employee salary payment reference 10784,434630.62,1,PDF,5,expense,debit
accounts payable recorded reference 84375,446427.44,0,Manual,4,liability,credit
consulting income received reference 34532,55806.77,0,Manual,2,revenue,credit
service revenue received reference 59768,468101.92,0,PDF,6,revenue,credit
accounts payable recorded reference 56220,493769.76,0,PDF,7,liability,credit
shareholder contribution reference 80719,10312.41,0,PDF,8,equity,credit
product sales receipt reference 50798,3296.92,0,Manual,12,revenue,credit
supplier payable created reference 53764,490609.05,0,Manual,12,liability,debit
shareholder contribution reference 50955,155376.26,0,CSV,9,equity,credit
owner withdrawal against equity reference 22137,187706.44,0,Bank,4,equity,credit
retained earnings transfer reference 86559,422514.96,1,Excel,2,equity,credit
customer invoice settlement reference 37385,439891.74,0,PDF,3,revenue,credit
monthly office rent reference 14100,451366.16,1,Manual,8,expense,debit
client payment for consulting services reference 19655,118732.65,0,Bank,1,revenue,debit
marketing campaign expense reference 96380,480403.28,0,Excel,6,expense,debit
product sales receipt reference 95062,25914.93,0,Excel,4,revenue,credit
purchase of computer equipment reference 59086,184925.86,1,Excel,4,asset,debit
share capital contribution reference 71262,77857.27,0,Excel,6,equity,credit
subscription revenue reference 53115,385161.22,0,CSV,10,revenue,credit
security deposit paid reference 98656,422211.81,0,PDF,11,asset,debit
business loan received reference 51064,344858.4,0,Manual,8,liability,credit
owner investment into business reference 62623,484466.81,0,Manual,10,equity,credit
accounts receivable created reference 95630,95217.65,0,Bank,7,asset,credit
tax payable recorded reference 32208,239455.2,0,CSV,9,liability,credit
employee salary payment reference 80082,312289.33,0,PDF,12,expense,debit
product sales receipt reference 30451,277515.1,1,Manual,10,revenue,credit
office electricity bill reference 41066,449303.62,0,CSV,6,expense,debit
inventory purchase for stock reference 48316,39064.17,0,Manual,4,asset,debit
sales collection reference 10661,178004.53,0,PDF,2,revenue,credit
supplier payable created reference 83734,47597.27,0,Bank,12,liability,credit
equipment acquisition reference 11549,368753.63,0,Manual,12,asset,debit
consulting income received reference 24596,166522.38,0,PDF,6,revenue,credit
subscription revenue reference 82051,309085.56,0,PDF,12,revenue,credit
software subscription expense reference 70040,52143.25,1,Excel,8,expense,debit
service revenue received reference 40612,410975.64,1,Bank,2,revenue,credit
retained earnings transfer reference 55817,291020.72,0,CSV,1,equity,credit
owner withdrawal against equity reference 35305,345399.64,1,Manual,11,equity,credit
additional equity contribution reference 28275,324600.21,0,Bank,12,equity,debit
client payment for consulting services reference 97626,435740.87,1,PDF,3,revenue,credit
purchase of office laptop reference 19997,144594.07,0,PDF,10,asset,debit
salary payable recorded reference 16885,189895.12,0,PDF,5,liability,credit
office supplies purchase reference 71539,98130.43,1,PDF,9,expense,debit
internet and telecom bill reference 38370,41895.74,0,Bank,3,expense,debit
short term borrowing reference 14862,411401.96,0,Excel,5,liability,credit
business loan received reference 13224,375868.0,0,Excel,3,liability,credit
loan repayment liability reference 35686,444650.37,0,Bank,4,liability,credit
gst payable recorded reference 29977,431531.58,0,CSV,1,liability,credit
accounts payable recorded reference 85873,376662.42,0,CSV,8,liability,credit
product sales receipt reference 77694,149288.48,0,Excel,5,revenue,credit
consulting income received reference 58050,386044.34,0,CSV,8,revenue,debit
salary payable recorded reference 49197,313544.0,1,Manual,6,liability,credit
capital introduced by shareholder reference 46810,290374.44,0,Manual,6,equity,credit
sales revenue from customer invoice reference 45312,457691.73,0,CSV,2,revenue,credit
subscription revenue reference 52281,374491.37,0,Manual,5,revenue,credit
marketing campaign expense reference 65877,18292.07,1,CSV,10,expense,debit
monthly office rent reference 29042,48556.59,0,CSV,4,expense,debit
capital introduced by shareholder reference 83686,485985.95,0,Manual,2,equity,credit
business loan received reference 73484,135512.47,0,Manual,11,liability,credit
supplier payable created reference 56668,103307.48,0,Excel,4,liability,credit
security deposit paid reference 24394,493529.18,0,Excel,3,asset,debit
inventory purchase for stock reference 79988,486804.11,0,Manual,9,asset,debit
purchase of machinery reference 60618,260424.34,1,Manual,3,asset,debit
purchase of machinery reference 32173,303392.32,1,Bank,3,asset,debit
loan repayment liability reference 55958,454755.6,0,Manual,9,liability,credit
short term borrowing reference 20308,218591.17,0,PDF,1,liability,credit
purchase of machinery reference 63455,146786.66,0,CSV,8,asset,debit
client payment for consulting services reference 85661,198578.09,0,Excel,3,revenue,credit
equipment acquisition reference 40791,28061.43,0,CSV,11,asset,debit
purchase of office laptop reference 40591,342068.67,0,Bank,7,asset,debit
purchase of machinery reference 64717,254449.19,0,Excel,3,asset,debit
professional fees reference 26291,369920.37,0,CSV,8,expense,credit
loan repayment liability reference 43614,420049.37,0,PDF,4,liability,debit
consulting income received reference 33942,137430.13,0,CSV,2,revenue,debit
equipment acquisition reference 78292,174579.51,1,Bank,5,asset,debit
internet and telecom bill reference 27590,97455.78,0,Excel,2,expense,debit
vendor credit purchase reference 47787,96628.74,0,Manual,11,liability,credit
customer invoice settlement reference 28178,472504.59,0,Manual,8,revenue,credit
capital introduced by shareholder reference 68489,98762.53,0,Bank,10,equity,credit
professional fees reference 39400,14001.5,0,PDF,9,expense,debit
shareholder contribution reference 87444,86496.46,0,PDF,1,equity,credit
owner capital introduced reference 68956,160957.94,0,PDF,8,equity,credit
sales collection reference 23821,388455.99,1,Excel,11,revenue,credit
sales revenue from customer invoice reference 21929,477077.09,0,CSV,5,revenue,credit
owner withdrawal against equity reference 34385,19126.56,0,Bank,8,equity,credit
additional equity contribution reference 67484,27771.54,0,PDF,2,equity,credit
monthly office rent reference 54628,278513.84,0,Manual,3,expense,debit
share capital contribution reference 75661,104267.53,0,CSV,9,equity,credit
purchase of machinery reference 49267,456913.16,0,CSV,10,asset,debit
gst payable recorded reference 10470,114817.37,1,Manual,12,liability,credit
additional equity contribution reference 72254,216052.76,0,PDF,6,equity,credit
equipment acquisition reference 57849,112728.05,0,CSV,8,asset,debit
shareholder contribution reference 72994,399606.26,0,Bank,10,equity,credit
owner capital introduced reference 23024,279044.52,1,Manual,6,equity,credit
customer invoice settlement reference 17035,16309.27,0,PDF,9,revenue,credit
office supplies purchase reference 59622,286726.59,0,PDF,9,expense,credit
owner capital introduced reference 79967,381752.04,0,CSV,5,equity,credit
marketing campaign expense reference 54536,381900.1,0,Manual,5,expense,debit
vehicle purchase for business reference 91626,220715.57,0,Manual,6,asset,debit
share capital contribution reference 42194,302590.33,0,PDF,11,equity,credit
vendor credit purchase reference 59601,231124.67,0,PDF,7,liability,credit
security deposit paid reference 42445,328845.97,0,CSV,10,asset,debit
owner investment into business reference 83663,208657.6,0,PDF,7,equity,credit
capital introduced by shareholder reference 26851,476600.79,0,Excel,7,equity,credit
prepaid insurance reference 78571,241552.49,0,PDF,11,asset,debit
shareholder contribution reference 94605,365519.05,0,Excel,3,equity,credit
short term borrowing reference 13859,179714.22,0,PDF,12,liability,credit
monthly office rent reference 57490,332980.86,1,Bank,4,expense,credit
capital introduced by shareholder reference 25217,127924.85,1,PDF,4,equity,credit
share capital contribution reference 93126,90434.85,0,Excel,12,equity,debit
maintenance and repair expense reference 79823,282961.73,0,Manual,7,expense,debit
prepaid insurance reference 96573,264917.41,0,PDF,4,asset,debit
purchase of machinery reference 97418,228142.86,0,Excel,1,asset,debit
courier and postage expense reference 56483,248660.29,0,PDF,6,expense,debit
customer invoice settlement reference 56145,216769.76,1,Manual,12,revenue,credit
inventory purchase for stock reference 10940,241895.16,0,CSV,5,asset,credit
additional equity contribution reference 29097,422026.52,0,Manual,9,equity,credit
shareholder contribution reference 47451,274949.6,1,Bank,8,equity,credit
vehicle purchase for business reference 88014,419155.53,0,PDF,8,asset,credit
additional equity contribution reference 43842,372727.83,0,PDF,12,equity,credit
business loan received reference 75394,159927.8,1,Bank,10,liability,credit
retained earnings transfer reference 42546,313031.61,0,CSV,12,equity,credit
owner investment into business reference 16352,461727.58,0,PDF,12,equity,credit
vendor credit purchase reference 96543,358444.94,0,PDF,7,liability,credit
retained earnings transfer reference 23455,411509.34,0,Bank,5,equity,credit
tax payable recorded reference 59714,35591.91,1,Excel,3,liability,credit
insurance expense reference 12733,362621.14,0,Bank,10,expense,debit
supplier payable created reference 88654,41116.55,0,Bank,8,liability,credit
software subscription expense reference 70507,199683.23,0,PDF,8,expense,debit
subscription revenue reference 44665,197769.3,0,CSV,5,revenue,credit
office furniture purchase reference 54032,188058.8,1,Excel,5,asset,debit
inventory purchase for stock reference 76691,262612.15,0,Bank,1,asset,credit
purchase of machinery reference 43512,65672.49,0,Manual,7,asset,debit
inventory purchase for stock reference 38069,313920.63,0,Manual,5,asset,credit
client payment for consulting services reference 39008,474411.9,0,Excel,2,revenue,credit
customer invoice settlement reference 89682,427607.43,0,Excel,9,revenue,credit
supplier payable created reference 59558,196211.72,1,CSV,4,liability,credit
vendor credit purchase reference 25930,459205.43,0,CSV,4,liability,credit
retained earnings transfer reference 30615,68682.21,0,PDF,12,equity,credit
purchase of computer equipment reference 58873,197752.75,0,PDF,12,asset,debit
owner investment into business reference 92046,459831.36,0,CSV,12,equity,debit
office furniture purchase reference 99750,165428.74,0,Excel,9,asset,debit
sales revenue from customer invoice reference 79655,219719.78,0,Bank,9,revenue,credit
